Country,Year,avg_goldstein,avg_tone,total_mentions,total_articles,event_count,ActionGeo_CountryCode
Colombia,2008,0.5511394861953154,5.305271578348777,545738,453592,91708,CO
Colombia,2009,0.3510094471434245,4.795451651802589,494053,456508,78013,CO
Colombia,2010,-0.08463701519152293,5.3972641446591085,477186,439211,58322,CO
Colombia,2011,0.09474041666008567,5.318174744611334,501646,471771,63313,CO
Colombia,2012,0.5336680553620952,4.867881837221242,838048,805759,78971,CO
Colombia,2013,0.9019350934013798,2.6536661536404242,531351,523584,61135,CO
Colombia,2014,0.7010913702488814,2.7595332060130224,717199,707834,82007,CO
Colombia,2015,0.6509489486138058,-1.8933868048573976,1267805,1251669,107383,CO
Colombia,2016,1.203812164362935,-1.7403255897200565,2185674,2142215,136698,CO
Colombia,2017,0.7998096715071193,-2.3835614291006344,1677194,1623847,113490,CO
Colombia,2018,0.5950266835558695,-2.522839733275776,1250549,1219779,96314,CO
Colombia,2019,0.416859849126971,-2.6956672656990732,1062499,1044323,94388,CO
Colombia,2020,0.4472104532345926,-3.1372828569362152,616401,605828,56174,CO
Colombia,2021,-0.0718250411485748,-3.367857537940711,641024,629825,61363,CO
Colombia,2022,0.7688609133870621,-2.11079768193899,467914,459466,50997,CO
Colombia,2023,0.8589374972353704,-2.2367418986888383,643426,633007,67821,CO
Colombia,2024,0.7104029750264486,-1.9709555082255776,561023,548718,62386,CO
Colombia,2025,-0.057021406906206315,-3.5299305428543253,684105,676414,68579,CO
Egypt,1980,1.580646708885051,5.159660762134352,38166,38057,10422,EG
Egypt,1981,0.7393168329334512,5.154614833906627,59904,59458,15838,EG
Egypt,1982,1.4449037776193867,5.028373132974105,54327,54056,14030,EG
Egypt,1983,1.7300069060773482,4.928540510623926,32904,32633,8688,EG
Egypt,1984,1.53402052574721,5.083125628483927,42610,42339,11108,EG
Egypt,1985,1.2417752795107777,4.583164151769225,59710,59133,16189,EG
Egypt,1986,1.4593423886036117,4.333497929197996,47817,47369,12074,EG
Egypt,1987,1.8014636174636172,4.449455964123348,49162,48638,12025,EG
Egypt,1988,1.9533630620587144,4.278987677459311,53993,53322,13455,EG
Egypt,1989,2.064734126415365,4.385920237550176,54280,53766,13954,EG
Egypt,1990,1.5970883475198125,4.053865194266642,65287,64484,17035,EG
Egypt,1991,2.1007704497022024,4.8658537198025895,80480,79676,18301,EG
Egypt,1992,1.4097201210287436,4.186512381990267,52452,51874,13220,EG
Egypt,1993,0.5021092963851692,4.114104987377064,111167,110184,25838,EG
Egypt,1994,0.6717111395944999,4.226924898685981,150827,148300,34328,EG
Egypt,1995,0.4442225091570265,4.520384912811272,156310,153066,37949,EG
Egypt,1996,1.3009958112700537,5.02050954465867,224810,220482,50612,EG
Egypt,1997,1.2344353762714202,5.136635976878282,240023,235991,57711,EG
Egypt,1998,1.7358694094036686,5.28772960568725,240714,238666,55808,EG
Egypt,1999,1.7375566984874073,5.896491346881135,245333,241769,52691,EG
Egypt,2000,1.6394003780836477,5.602170912750981,302351,282295,64007,EG
Egypt,2001,1.5728225393574806,5.370886706286051,260989,257201,62504,EG
Egypt,2002,1.5205105904021288,5.565454525401392,232047,229634,58638,EG
Egypt,2003,1.5826655699846572,5.431613804315014,286902,284259,63221,EG
Egypt,2004,1.5685558372999986,5.306713021561458,287895,285306,67437,EG
Egypt,2005,0.7587292559566129,5.25586300907123,222364,220586,49231,EG
Egypt,2006,0.9429959084236498,5.164356860270465,299304,153154,64034,EG
Egypt,2007,0.9155850635146027,5.3100000514943675,546993,361965,104228,EG
Egypt,2008,0.6235669988259027,4.872523851303398,826836,678929,132868,EG
Egypt,2009,1.1462599418834662,5.333286100799228,1569078,1372518,219903,EG
Egypt,2010,0.5284679992186992,5.40479021256625,1256071,1132300,153590,EG
Egypt,2011,-0.1558865693759866,5.185965168762375,8234957,7852620,620820,EG
Egypt,2012,0.13727916920932,5.010870880635373,5970965,5760248,460477,EG
Egypt,2013,-0.799555519693448,2.6946777592808786,7203170,7085814,582495,EG
Egypt,2014,-0.46303218750756675,2.459995804898683,5695865,5604121,495596,EG
Egypt,2015,-0.214037477097246,-2.644067103202367,9016625,8834430,593269,EG
Egypt,2016,0.13732545511714545,-3.0220199510230326,6649112,6517672,494357,EG
Egypt,2017,0.043293381969775835,-2.9790560371038146,6039626,5922802,422180,EG
Egypt,2018,0.5074208451805617,-2.41379247646429,4477527,4367663,347831,EG
Egypt,2019,0.6857393970906254,-2.2799051976462295,3772816,3690724,338492,EG
Egypt,2020,0.8793225608688036,-2.3227319071248043,2193613,2154879,228360,EG
Egypt,2021,1.325246284328837,-1.5156756600517878,2123958,2088593,221900,EG
Egypt,2022,1.3314775735313458,-1.2100344130515543,1676876,1649570,190021,EG
Egypt,2023,1.1675816045547633,-2.105492945292333,3401568,3347284,306141,EG
Egypt,2024,0.9257887330337282,-2.6679125319691464,2854604,2818976,286377,EG
Egypt,2025,1.3954157502384332,-1.7760251757358356,1922763,1898709,205508,EG
France,1980,0.9537639120147221,4.9357804119736395,42130,41897,11411,FR
France,1981,0.8788584441342836,4.918884276494077,51638,51379,13613,FR
France,1982,0.7596846254927726,4.744629936323917,56565,56277,15220,FR
France,1983,0.2332220286488579,4.528158320909434,79680,79238,20664,FR
France,1984,0.5754480555139534,4.552899824135036,78465,77942,20031,FR
France,1985,0.6134869049894854,4.8099638690643,83063,82417,20924,FR
France,1986,0.47919897559934543,4.565064897793643,108942,107923,28114,FR
France,1987,0.4113743326082656,4.386573835172693,93029,92168,25285,FR
France,1988,1.0525100980957878,4.671462847935797,77715,77065,19063,FR
France,1989,1.3330237248553687,4.62954173728259,77187,76618,18841,FR
France,1990,1.5157027801792782,4.853651703136085,88077,87331,21977,FR
France,1991,1.28252225215701,5.048918724103925,141576,140160,29323,FR
France,1992,1.2606132432296135,4.885593096551957,79695,79127,19829,FR
France,1993,0.9081090076971086,4.957802298356185,104261,103459,24035,FR
France,1994,0.6767988643421168,4.7719603918044955,193392,189969,45084,FR
France,1995,0.5026906809110584,4.926970436461802,206175,200950,50359,FR
France,1996,1.1345073606284073,5.123712649166606,318311,311412,70782,FR
France,1997,1.3185750995759988,5.281668172129068,340962,334580,77830,FR
France,1998,1.386499218994065,5.322164183092692,375420,371126,80025,FR
France,1999,1.1872684139177578,5.365293102127995,430852,423945,88520,FR
France,2000,0.8833217753120662,5.195424703257825,395369,369790,83636,FR
France,2001,0.9552121277695631,5.106224930968025,375842,371966,83181,FR
France,2002,0.723275352188407,5.1774782928854695,316347,313961,74392,FR
France,2003,0.9418733325898793,5.538037670700825,571224,567229,116573,FR
