Country,Year,Spending
China,2015,0.01742239551069861
China,2016,0.01734498714491647
China,2017,0.016802504327741805
China,2018,0.01643666897734351
China,2019,0.016505247515538855
China,2020,0.01720541627513925
China,2021,0.015716370376944837
China,2022,0.015918125379902066
China,2023,0.016215129762345834
China,2024,0.016640184492643748
China,2025,0.01724723316575711
Colombia,1980,0.018301216492625685
Colombia,1981,0.01755120361917923
Colombia,1982,0.017138509590357585
Colombia,1983,0.022199375274217947
Colombia,1984,0.02325894963931774
Colombia,1985,0.02054016609342151
Colombia,1986,0.01944619591158463
Colombia,1987,0.019831354164187746
Colombia,1988,0.021992447554831946
Colombia,1989,0.02188183807439825
Colombia,1990,0.018601592995480688
Colombia,1991,0.0185348178319724
Colombia,1992,0.02106677942553384
Colombia,1993,0.025252670182909682
Colombia,1994,0.025084070134704716
Colombia,1995,0.028316265805770076
Colombia,1996,0.04445393253964314
Colombia,1997,0.028017878857593586
Colombia,1998,0.034409857420470806
Colombia,1999,0.03762742057862963
Colombia,2000,0.03031683538658521
Colombia,2001,0.033238728188053186
Colombia,2002,0.03417127623581972
Colombia,2003,0.03463988690814959
Colombia,2004,0.03465015174063075
Colombia,2005,0.03374679693926464
Colombia,2006,0.03295824991352292
Colombia,2007,0.03286301709494453
Colombia,2008,0.03737246985651154
Colombia,2009,0.03886963837063531
Colombia,2010,0.03636915046134617
Colombia,2011,0.03077106989562585
Colombia,2012,0.031560058634042855
Colombia,2013,0.03272262856518689
Colombia,2014,0.031082588481104415
Colombia,2015,0.03109960084106714
Colombia,2016,0.030711310261153858
Colombia,2017,0.03208096724394359
Colombia,2018,0.030332327385044003
Colombia,2019,0.031456566937215345
Colombia,2020,0.03534404132193357
Colombia,2021,0.03195758253469101
Colombia,2022,0.02795533075082376
Colombia,2023,0.029428005972628398
Colombia,2024,0.03313140921696543
Colombia,2025,0.03202105085963565
Egypt,1980,0.06160310277957337
Egypt,1981,0.07416909620991254
Egypt,1982,0.07188960605386156
Egypt,1983,0.07958673932788374
Egypt,1984,0.08265232070173224
Egypt,1985,0.07856933059197352
Egypt,1986,0.07498130565815413
Egypt,1987,0.06528742770640066
Egypt,1988,0.050608766233766235
Egypt,1989,0.03968098958333333
Egypt,1990,0.03467699535789301
Egypt,1991,0.03611744704200409
Egypt,1992,0.03215500631723587
Egypt,1993,0.030977369924992327
Egypt,1994,0.031539346510063675
Egypt,1995,0.030820362341483692
Egypt,1996,0.02974811869796452
Egypt,1997,0.028414852184644734
